name,# stmts,scalar refs,array refs,ops,# arrays,N,K
matmul_M_020_001,1,9,4,3,4,20,1
matmul_M_020_002,1,9,4,3,4,20,2
matmul_M_020_003,1,9,4,3,4,20,3
matmul_M_020_004,1,9,4,3,4,20,4
matmul_M_020_005,1,9,4,3,4,20,5
matmul_M_020_006,1,9,4,3,4,20,6
matmul_M_020_007,1,9,4,3,4,20,7
matmul_M_020_008,1,9,4,3,4,20,8
matmul_M_020_009,1,9,4,3,4,20,9
matmul_M_020_010,1,9,4,3,4,20,10
matmul_M_020_011,1,9,4,3,4,20,11
matmul_M_020_012,1,9,4,3,4,20,12
matmul_M_020_013,1,9,4,3,4,20,13
matmul_M_020_014,1,9,4,3,4,20,14
matmul_M_020_015,1,9,4,3,4,20,15
matmul_M_020_016,1,9,4,3,4,20,16
matmul_M_020_017,1,9,4,3,4,20,17
matmul_M_020_018,1,9,4,3,4,20,18
matmul_M_020_019,1,9,4,3,4,20,19
matmul_M_020_020,1,9,4,3,4,20,20
matmul_M_040_001,1,9,4,3,4,40,1
matmul_M_040_002,1,9,4,3,4,40,2
matmul_M_040_003,1,9,4,3,4,40,3
matmul_M_040_004,1,9,4,3,4,40,4
matmul_M_040_005,1,9,4,3,4,40,5
matmul_M_040_006,1,9,4,3,4,40,6
matmul_M_040_007,1,9,4,3,4,40,7
matmul_M_040_008,1,9,4,3,4,40,8
matmul_M_040_009,1,9,4,3,4,40,9
matmul_M_040_010,1,9,4,3,4,40,10
matmul_M_040_011,1,9,4,3,4,40,11
matmul_M_040_012,1,9,4,3,4,40,12
matmul_M_040_013,1,9,4,3,4,40,13
matmul_M_040_014,1,9,4,3,4,40,14
matmul_M_040_015,1,9,4,3,4,40,15
matmul_M_040_016,1,9,4,3,4,40,16
matmul_M_040_017,1,9,4,3,4,40,17
matmul_M_040_018,1,9,4,3,4,40,18
matmul_M_040_019,1,9,4,3,4,40,19
matmul_M_040_020,1,9,4,3,4,40,20
matmul_M_060_001,1,9,4,3,4,60,1
matmul_M_060_002,1,9,4,3,4,60,2
matmul_M_060_003,1,9,4,3,4,60,3
matmul_M_060_004,1,9,4,3,4,60,4
matmul_M_060_005,1,9,4,3,4,60,5
matmul_M_060_006,1,9,4,3,4,60,6
matmul_M_060_007,1,9,4,3,4,60,7
matmul_M_060_008,1,9,4,3,4,60,8
matmul_M_060_009,1,9,4,3,4,60,9
matmul_M_060_010,1,9,4,3,4,60,10
matmul_M_060_011,1,9,4,3,4,60,11
matmul_M_060_012,1,9,4,3,4,60,12
matmul_M_060_013,1,9,4,3,4,60,13
matmul_M_060_014,1,9,4,3,4,60,14
matmul_M_060_015,1,9,4,3,4,60,15
matmul_M_060_016,1,9,4,3,4,60,16
matmul_M_060_017,1,9,4,3,4,60,17
matmul_M_060_018,1,9,4,3,4,60,18
matmul_M_060_019,1,9,4,3,4,60,19
matmul_M_060_020,1,9,4,3,4,60,20
matmul_M_080_001,1,9,4,3,4,80,1
matmul_M_080_002,1,9,4,3,4,80,2
matmul_M_080_003,1,9,4,3,4,80,3
matmul_M_080_004,1,9,4,3,4,80,4
matmul_M_080_005,1,9,4,3,4,80,5
matmul_M_080_006,1,9,4,3,4,80,6
matmul_M_080_007,1,9,4,3,4,80,7
matmul_M_080_008,1,9,4,3,4,80,8
matmul_M_080_009,1,9,4,3,4,80,9
matmul_M_080_010,1,9,4,3,4,80,10
matmul_M_080_011,1,9,4,3,4,80,11
matmul_M_080_012,1,9,4,3,4,80,12
matmul_M_080_013,1,9,4,3,4,80,13
matmul_M_080_014,1,9,4,3,4,80,14
matmul_M_080_015,1,9,4,3,4,80,15
matmul_M_080_016,1,9,4,3,4,80,16
matmul_M_080_017,1,9,4,3,4,80,17
matmul_M_080_018,1,9,4,3,4,80,18
matmul_M_080_019,1,9,4,3,4,80,19
matmul_M_080_020,1,9,4,3,4,80,20
matmul_M_100_001,1,9,4,3,4,100,1
matmul_M_100_002,1,9,4,3,4,100,2
matmul_M_100_003,1,9,4,3,4,100,3
matmul_M_100_004,1,9,4,3,4,100,4
matmul_M_100_005,1,9,4,3,4,100,5
matmul_M_100_006,1,9,4,3,4,100,6
matmul_M_100_007,1,9,4,3,4,100,7
matmul_M_100_008,1,9,4,3,4,100,8
matmul_M_100_009,1,9,4,3,4,100,9
matmul_M_100_010,1,9,4,3,4,100,10
matmul_M_100_011,1,9,4,3,4,100,11
matmul_M_100_012,1,9,4,3,4,100,12
matmul_M_100_013,1,9,4,3,4,100,13
matmul_M_100_014,1,9,4,3,4,100,14
matmul_M_100_015,1,9,4,3,4,100,15
matmul_M_100_016,1,9,4,3,4,100,16
matmul_M_100_017,1,9,4,3,4,100,17
matmul_M_100_018,1,9,4,3,4,100,18
matmul_M_100_019,1,9,4,3,4,100,19
matmul_M_100_020,1,9,4,3,4,100,20
